rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
381,THERMAX,3944.2,5256.33,-24.96,3954.34,21.05,34.87,0.6037,0.163722,0.162921,False,False,True,False
382,INDUSTOWER,380.0,464.04,-18.11,391.54,15.11,25.65,0.5889,0.015774,0.016078,True,False,False,False
383,SAMMAANCAP,145.8,192.95,-24.44,155.34,23.11,40.73,0.5674,0.006052,0.006381,False,False,False,False
384,AVANTIFEED,826.75,1575.93,-47.54,999.24,31.17,55.52,0.5614,0.034318,0.04115,False,False,False,False
385,JAMNAAUTO,120.8,152.6,-20.84,123.13,22.28,41.54,0.5362,0.005014,0.005056,False,False,False,False
386,AXISCADES,1594.7,2211.0,-27.87,1601.15,25.87,48.37,0.5349,0.066195,0.065896,False,False,True,False
387,JKTYRE,380.25,605.8,-37.23,407.22,19.76,36.97,0.5345,0.015784,0.016679,False,False,False,False
388,BEL,411.9,472.81,-12.88,412.32,13.22,25.03,0.5282,0.017098,0.01693,True,False,True,False
389,KIRLPNU,723.3,1093.54,-33.86,713.6,18.04,35.69,0.5055,0.030024,0.029379,False,True,True,False
390,SUPRIYA,804.15,1085.0,-25.88,781.57,21.61,46.54,0.4644,0.03338,0.032117,False,True,True,False
391,NLCINDIA,270.6,387.8,-30.22,286.71,16.96,36.86,0.4601,0.011232,0.011798,False,False,False,False
392,CANFINHOME,815.5,962.69,-15.29,841.95,12.08,26.77,0.4513,0.033851,0.034551,True,False,False,False
393,MUTHOOTFIN,3091.0,4114.71,-24.88,3186.8,16.61,36.82,0.4511,0.128306,0.130689,False,False,False,False
394,CEATLTD,3511.5,4393.16,-20.07,3524.27,16.72,38.08,0.439,0.145761,0.14449,False,False,True,False
395,INOXGREEN,174.26,279.0,-37.54,182.36,19.83,45.25,0.4382,0.007233,0.007474,False,False,False,False
396,ASHAPURMIN,582.1,924.9,-37.06,639.28,20.16,55.05,0.3663,0.024163,0.026212,False,False,False,False
