date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-07-06,27036180.23023126,9538085.265406583,17498094.964824677,15989.7998046875,-18.184687098299523,11
2022-07-07,27156230.8464689,9538085.265406583,17618145.581062317,16132.900390625,-17.821396920179556,11
2022-07-08,27111492.70350549,9538085.265406583,17573407.438098907,16220.599609375,-17.956780881006217,11
2022-07-11,27366888.15027902,9538085.265406583,17828802.884872437,16216.0,-17.18391806482772,11
2022-07-12,27158819.590609524,9538085.265406583,17620734.325202942,16058.2998046875,-17.81356301353726,11
2022-07-13,27017411.66020486,9538085.265406583,17479326.39479828,15966.650390625,-18.24148345105169,11
2022-07-14,26953794.38692758,9538085.265406583,17415709.121520996,15938.650390625,-18.43399833572885,11
2022-07-15,27287482.621249173,9538085.265406583,17749397.35584259,16049.2001953125,-17.424210448898958,11
2022-07-18,27674281.632418606,9538085.265406583,18136196.367012024,16278.5,-16.25370182455159,11
2022-07-19,27665050.033194516,9538085.265406583,18126964.767787933,16340.5498046875,-16.281637952091444,11
2022-07-20,27622799.24016473,9538085.265406583,18084713.97475815,16520.849609375,-16.409494839515638,11
2022-07-21,28004180.621039364,9538085.265406583,18466095.355632782,16605.25,-15.255380732218383,11
2022-07-22,28217426.89120767,9538085.265406583,18679341.625801086,16719.44921875,-14.610067297762441,11
2022-07-25,28247251.57164285,9538085.265406583,18709166.306236267,16631.0,-14.519813588058694,11
2022-07-26,28120299.8603811,9538085.265406583,18582214.594974518,16483.849609375,-14.90398745773398,11
2022-07-27,28052125.01324365,9538085.265406583,18514039.747837067,16641.80078125,-15.11029420680422,11
2022-07-28,28127804.601012204,9538085.265406583,18589719.33560562,16929.599609375,-14.881277049024199,11
2022-07-29,28396407.725119565,9538085.265406583,18858322.459712982,17158.25,-14.068445929462236,11
2022-08-01,28310482.393738825,-8670.531027714722,28319152.92476654,17340.05078125,-14.328468159423425,20
2022-08-02,28629247.871552546,-8670.531027714722,28637918.40258026,17345.44921875,-13.363838648615989,20
2022-08-03,28847165.660149653,-8670.531027714722,28855836.19117737,17388.150390625,-12.70438853735424,20
2022-08-04,28834754.361336786,-8670.531027714722,28843424.892364502,17382.0,-12.741946886471755,20
2022-08-05,28913678.83292492,-8670.531027714722,28922349.363952637,17397.5,-12.503110250393846,20
2022-08-08,28963083.017190058,-8670.531027714722,28971753.548217773,17525.099609375,-12.353606187324095,20
2022-08-10,28961222.37528332,-8670.531027714722,28969892.906311035,17534.75,-12.359236753421133,20
2022-08-11,29242278.594941217,-8670.531027714722,29250949.125968933,17659.0,-11.508720801890092,20
2022-08-12,29592288.725625116,-8670.531027714722,29600959.256652832,17698.150390625,-10.449540543554336,20
2022-08-16,30071737.679894526,-8670.531027714722,30080408.21092224,17825.25,-8.998660061181951,20
2022-08-17,30194311.09177502,-8670.531027714722,30202981.622802734,17944.25,-8.627735545920068,20
2022-08-18,30284561.36405285,-8670.531027714722,30293231.895080566,17956.5,-8.354625431880436,20
2022-08-19,29794407.619439203,-8670.531027714722,29803078.15046692,17758.44921875,-9.837900126900568,20
2022-08-22,29311226.447426874,-8670.531027714722,29319896.97845459,17490.69921875,-11.30007482908707,20
2022-08-23,29371062.891724665,-8670.531027714722,29379733.42275238,17577.5,-11.119001268715012,20
2022-08-24,29452177.286492426,-8670.531027714722,29460847.81752014,17604.94921875,-10.873537614743068,20
2022-08-25,29338182.264214594,-8670.531027714722,29346852.79524231,17522.44921875,-11.218502707351396,20
2022-08-26,29423658.707963068,-8670.531027714722,29432329.238990784,17558.900390625,-10.959838874981088,20
2022-08-29,29335808.684449274,-8670.531027714722,29344479.21547699,17312.900390625,-11.225685496101256,20
2022-08-30,30177535.234726984,-8670.531027714722,30186205.7657547,17759.30078125,-8.678501666795546,20
2022-09-01,30233545.485145267,-2952.534309689421,30236498.019454956,17542.80078125,-8.509006711345057,20
2022-09-02,29999899.430244144,-2952.534309689421,30002851.964553833,17539.44921875,-9.216052785427975,20
2022-09-05,30332634.388633426,-2952.534309689421,30335586.922943115,17665.80078125,-8.209149646666036,20
2022-09-06,30448043.04395264,-2952.534309689421,30450995.57826233,17655.599609375,-7.859906700136632,20
2022-09-07,30724367.033309635,-2952.534309689421,30727319.567619324,17624.400390625,-7.023711148140366,20
2022-09-08,30768466.756850895,-2952.534309689421,30771419.291160583,17798.75,-6.890259134960919,20
2022-09-09,30881402.024764713,-2952.534309689421,30884354.5590744,17833.349609375,-6.548501009244823,20
2022-09-12,31199802.18318146,-2952.534309689421,31202754.71749115,17936.349609375,-5.584977006705117,20
2022-09-13,31361343.50981873,-2952.534309689421,31364296.044128418,18070.05078125,-5.096130058917526,20
2022-09-14,31378564.735404667,-2952.534309689421,31381517.269714355,18003.75,-5.044016189729428,20
2022-09-15,31528945.657432254,-2952.534309689421,31531898.191741943,17877.400390625,-4.588942207925739,20
2022-09-16,30904510.69921082,-2952.534309689421,30907463.233520508,17530.849609375,-6.478570885445844,20
2022-09-19,30877374.712112125,-2952.534309689421,30880327.246421814,17622.25,-6.560688228075984,20
2022-09-20,31574555.115310367,-2952.534309689421,31577507.649620056,17816.25,-4.4509215246858025,20
2022-09-21,31266915.66253632,-2952.534309689421,31269868.19684601,17718.349609375,-5.381882106960378,20
2022-09-22,31455094.900901493,-2952.534309689421,31458047.43521118,17629.80078125,-4.812425063201109,20
2022-09-23,30767776.9911496,-2952.534309689421,30770729.52545929,17327.349609375,-6.892346463725552,20
2022-09-26,29594873.46193665,-2952.534309689421,29597825.996246338,17016.30078125,-10.44171876517087,20
