symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
TORNTPOWER,Torrent Power AEC Ltd.,proposed,INE813H01021,1998-08-01,2006-09-21,name_variant;listing_after_first_seen
TREEHOUSE,Tree House Education & Accessories Ltd.,auto,INE040M01013,2012-04-27,2016-09-30,
TRIDENT,Trident Ltd.,auto,INE064C01022,2003-04-01,2017-09-29,
TRITURBINE,Triveni Turbine Ltd.,auto,INE152M01016,2016-04-01,2020-06-26,
TTKPRESTIG,TTK Prestige Ltd.,auto,INE690A01028,2012-09-28,2019-09-27,
TTML,Tata Teleservices (Maharashtra) Ltd.,auto,INE517B01013,2002-01-17,2016-09-30,
TVSSRICHAK,TVS Srichakra Ltd.,auto,INE421C01016,2016-04-01,2019-03-29,
TVTODAY,TV Today Network Ltd.,auto,INE038F01029,2004-12-10,2016-04-29,
UBL,United Breweries (Holdings) Ltd.,proposed,INE686F01025,2012-04-09,2014-03-28,name_variant;concurrent_alias_collision
UCOBANK,UCO Bank,auto,INE691A01018,2004-05-24,2019-12-27,
UFLEX,UFLEX Ltd.,auto,INE516A01017,1998-08-01,2018-04-02,
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,auto,INE551W01018,2020-06-26,2020-06-26,
ULTRACEMCO,UltraTech Cement Ltd.,auto,INE481G01011,2005-01-05,2020-06-26,
UNIONBANK,Union Bank of India,auto,INE692A01016,2003-03-01,2020-06-26,alias_target_of(Union Bank of India Ltd.)
UNITDSPR,United Spirits Ltd.,auto,INE854D01024,2002-09-19,2018-12-28,
UPL,UPL Ltd.,auto,INE628A01036,2004-08-30,2020-06-26,
VAIBHAVGBL,Vaibhav Global Ltd.,auto,INE884A01027,2014-03-28,2019-09-24,
VARROC,Varroc Engineering Ltd.,auto,INE665L01035,2018-12-28,2020-06-26,
VBL,Varun Beverages Ltd.,auto,INE200M01039,2017-05-26,2020-06-26,
VGUARD,V-Guard Industries Ltd.,auto,INE951I01027,2016-04-01,2018-09-28,alias_target_of(V.I.P. Industries Ltd.)
VINATIORGA,Vinati Organics Ltd.,auto,INE410B01037,2015-03-27,2019-09-27,
VIVIDHA,Visagar Polytex Ltd.,auto,INE370E01029,2015-05-29,2016-04-01,
VMART,V-Mart Retail Ltd.,auto,INE665J01013,2018-09-28,2018-09-28,
VOLTAS,Voltas Ltd.,auto,INE226A01021,1998-08-01,2019-06-28,
VRLLOG,VRL Logistics Ltd.,auto,INE366I01010,2015-09-28,2019-03-29,
WABAG,Va Tech Wabag Ltd.,auto,INE956G01038,2014-07-14,2020-06-26,
WHEELS,Wheels India Ltd.,auto,INE715A01015,2002-09-19,2016-04-01,
WIPRO,Wipro Ltd.,auto,INE075A01022,1998-08-01,2019-12-27,
WONDERLA,Wonderla Holidays Ltd.,auto,INE066O01014,2016-04-01,2017-09-29,
YESBANK,Yes Bank Ltd.,auto,INE528G01035,2006-03-02,2020-03-19,
ZEELEARN,Zee Learn Ltd.,auto,INE565L01011,2016-04-01,2018-09-28,
ZYDUSWELL,Zydus Wellness Ltd.,auto,INE768C01028,2011-03-25,2018-09-28,
