trading_date,status,records_extracted,size_bytes,source
2018-08-07,SUCCESS,410,69068,download
2018-08-08,SUCCESS,410,68681,download
2018-08-09,SUCCESS,410,68599,download
2018-08-10,SUCCESS,410,68685,download
2018-08-13,SUCCESS,411,68412,download
2018-08-14,SUCCESS,411,69201,download
2018-08-16,SUCCESS,411,68536,download
2018-08-17,SUCCESS,411,68192,download
2018-08-20,SUCCESS,411,69284,download
2018-08-21,SUCCESS,411,69172,download
2018-08-23,SUCCESS,412,69163,download
2018-08-24,SUCCESS,412,69037,download
2018-08-27,SUCCESS,412,69410,download
2018-08-28,SUCCESS,412,68836,cache_a2
